漂	ㄆㄧㄠ																				
漂	ㄆㄧㄠˇ																				
邃	ㄙㄨㄟˋ																				
麓	ㄌㄨˋ																				
漂	ㄆㄧㄠˋ																				
土	ㄊㄨˇ																				
園	ㄩㄢˊ																				
圓	ㄩㄢˊ																				
圾	ㄙㄜˋ																				
歹	ㄉㄞˇ																				
麋	ㄇㄧˊ																				
圖	ㄊㄨˊ																				
午	ㄨˇ																				
歎	ㄊㄢˋ																				
地	˙ㄉㄜ																				
南	ㄋㄚˊ																				
南	ㄋㄢˊ																				
國	ㄍㄨㄛˊ																				
躍	ㄩㄝˋ																				
蕙	ㄏㄨㄟˋ																				
莒	ㄐㄩˇ																				
圃	ㄆㄨˇ																				
圮	ㄆㄧˇ																				
正	ㄓㄥ																				
歡	ㄏㄨㄢ																				
圇	ㄌㄨㄣˊ																				
麟	ㄌㄧㄣˊ																				
歸	ㄍㄨㄟ																				
地	ㄉㄧˋ																				
劭	ㄕㄠˋ																				
死	ㄙˇ																				
棲	ㄑㄧ																				
助	ㄓㄨˋ																				
努	ㄋㄨˇ																				
予	ㄩˇ																				
麵	ㄇㄧㄢˋ																				
圭	ㄍㄨㄟ																				
予	ㄩˊ																				
卒	ㄘㄨˋ																				
劾	ㄏㄜˊ																				
武	ㄨˇ																				
歧	ㄑㄧˊ																				
此	ㄘˇ																				
互	ㄏㄨˋ																				
聾	ㄌㄨㄥˊ																				
棧	ㄓㄢˋ																				
止	ㄓˇ																				
正	ㄓㄥˋ																				
亙	ㄍㄣˋ																				
亟	ㄐㄧˊ																				
亟	ㄑㄧˋ																				
亢	ㄍㄤ																				
亢	ㄎㄤˋ																				
亂	ㄌㄨㄢˋ																				
亥	ㄏㄞˋ																				
亦	ㄧˋ																				
亨	ㄏㄥ																				
事	ㄕˋ																				
卒	ㄗㄨˊ																				
加	ㄐㄧㄚ																				
京	ㄐㄧㄥ																				
聆	ㄌㄧㄥˊ																				
棄	ㄑㄧˋ																				
聒	ㄍㄨㄚ																				
二	ㄦˋ																				
井	ㄐㄧㄥˇ																				
五	ㄨˇ																				
鴨	ㄧㄚ																				
藏	ㄘㄤˊ																				
歉	ㄑㄧㄢˋ																				
聳	ㄙㄨㄥˇ																				
雞	ㄐㄧ																				
亞	ㄧㄚˋ																				
鴿	ㄍㄜ																				
歇	ㄒㄧㄝ																				
亡	ㄨㄤˊ																				
聊	ㄌㄧㄠˊ																				
交	ㄐㄧㄠ																				
踞	ㄐㄩˋ																				
踝	ㄏㄨㄞˊ																				
棘	ㄐㄧˊ																				
劇	ㄐㄩˋ																				
亭	ㄊㄧㄥˊ																				
亮	ㄌㄧㄤˋ																				
牲	ㄕㄥ																				
踩	ㄘㄞˇ																				
踮	ㄉㄧㄢˋ																				
聘	ㄆㄧㄥˋ																				
聚	ㄐㄩˋ																				
棉	ㄇㄧㄢˊ																				
踱	ㄉㄨㄛˋ																				
功	ㄍㄨㄥ																				
人	ㄖㄣˊ																				
踵	ㄓㄨㄥˇ																				
棍	ㄍㄨㄣˋ																				
聖	ㄕㄥˋ																				
糗	ㄑㄧㄡˇ																				
糙	ㄘㄠ																				
藏	ㄗㄤˋ																				
鴦	ㄧㄤ																				
糞	ㄈㄣˋ																				
柔	ㄖㄡˊ																				
萸	ㄩˊ																				
蕪	ㄨˊ																				
踢	ㄊㄧ																				
鴉	ㄧㄚ																				
螂	ㄌㄤˊ																				
柒	ㄑㄧ																				
查	ㄓㄚ																				
查	ㄔㄚˊ																				
鴛	ㄩㄢ																				
踴	ㄩㄥˇ																				
鴕	ㄊㄨㄛˊ																				
膏	ㄍㄠ																				
柄	ㄅㄧㄥˇ																				
柢	ㄉㄧˇ																				
柯	ㄎㄜ																				
柴	ㄔㄞˊ																				
糕	ㄍㄠ																				
糖	ㄊㄤˊ																				
柏	ㄅㄛˊ																				
糟	ㄗㄠ																				
某	ㄇㄡˇ																				
柵	ㄓㄚˋ																				
糧	ㄌㄧㄤˊ																				
糬	ㄕㄨˇ																				
襖	ㄠˇ																				
柑	ㄍㄢ																				
染	ㄖㄢˇ																				
糊	ㄏㄨˊ																				
蕾	ㄌㄟˇ																				
妞	ㄋㄧㄡ																				
焙	ㄅㄟˋ																				
柚	ㄧㄡˋ																				
麥	ㄇㄞˋ																				
系	ㄒㄧˋ																				
糾	ㄐㄧㄡ																				
妒	ㄉㄨˋ																				
襄	ㄒㄧㄤ																				
擣	ㄉㄠˇ																				
酪	ㄌㄨㄛˋ																				
柱	ㄓㄨˋ																				
柳	ㄌㄧㄡˇ																				
柿	ㄕˋ																				
糯	ㄋㄨㄛˋ																				
妍	ㄧㄢˊ																				
妄	ㄨㄤˋ																				
焰	ㄧㄢˋ																				
妻	ㄑㄧ																				
酬	ㄔㄡˊ																				
縱	ㄗㄨㄥ																				
縱	ㄗㄨㄥˋ																				
妙	ㄇㄧㄠˋ																				
崎	ㄑㄧˊ																				
妨	ㄈㄤˊ																				
無	ㄇㄛˊ																				
妝	ㄓㄨㄤ																				
妓	ㄐㄧˋ																				
妖	ㄧㄠ																				
藝	ㄧˋ																				
妮	ㄋㄧˊ																				
如	ㄖㄨˊ																				
妃	ㄈㄟ																				
妹	ㄇㄟˋ																				
襬	ㄅㄞˇ																				
歪	ㄨㄞ																				
妣	ㄅㄧˇ																				
襪	ㄨㄚˋ																				
妾	ㄑㄧㄝˋ																				
無	ㄨˊ																				
妥	ㄊㄨㄛˇ																				
疫	ㄧˋ																				
跪	ㄍㄨㄟˋ																				
疣	ㄧㄡˊ																				
跨	ㄎㄨㄚˋ																				
跤	ㄐㄧㄠ																				
闌	ㄌㄢˊ																				
闊	ㄎㄨㄛˋ																				
疹	ㄓㄣˇ																				
疲	ㄆㄧˊ																				
疵	ㄘ																				
跎	ㄊㄨㄛˊ																				
闡	ㄔㄢˇ																				
疤	ㄅㄚ																				
闖	ㄔㄨㄤˇ																				
麼	˙ㄇㄜ																				
麼	ㄇㄚˊ																				
麼	ㄇㄛˊ																				
疆	ㄐㄧㄤ																				
疾	ㄐㄧˊ																				
疼	ㄊㄥˊ																				
闐	ㄊㄧㄢˊ																				
關	ㄍㄨㄢ																				
擲	ㄓˊ																				
疚	ㄐㄧㄡˋ																				
距	ㄐㄩˋ																				
跌	ㄉㄧㄝˊ																				
跛	ㄅㄛˇ																				
犬	ㄑㄩㄢˇ																				
黠	ㄒㄧㄚˊ																				
犧	ㄒㄧ																				
犢	ㄉㄨˊ																				
萋	ㄑㄧ																				
鸛	ㄍㄨㄢˋ																				
藩	ㄈㄢˊ																				
跟	ㄍㄣ																				
跚	ㄕㄢ																				
疑	ㄧˊ																				
蹉	ㄘㄨㄛ																				
棺	ㄍㄨㄢ																				
蓄	ㄒㄩˋ																				
跑	ㄆㄠˇ																				
藥	ㄧㄠˋ																				
廓	ㄎㄨㄛˋ																				
興	ㄒㄧㄥ																				
汀	ㄊㄧㄥ																				
汁	ㄓ																				
蓓	ㄅㄟˋ																				
興	ㄒㄧㄥˋ																				
犯	ㄈㄢˋ																				
澀	ㄙㄜˋ																				
擻	ㄙㄡˇ																				
